	2	0	0	2	110	0;
	2	0	0	2	24	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	24	0;
	2	0	0	2	24	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	24	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	100	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	24	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	100	0;
	2	0	0	2	16	0;
	2	0	0	2	16	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	100	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	16	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	24	0;
	2	0	0	2	24	0;
	2	0	0	2	110	0;
	2	0	0	2	60	0;
	2	0	0	2	16	0;
	2	0	0	2	110	0;
	2	0	0	2	110	0;
	2	0	0	2	60	0;
